Kota,Otvorenost,Q,Q_turbine,Q_ukupno,H_carinski_t0,Kisa_mm,H_carinski_t1
72.3,1.7,132.0,360,492.0,42.2141001864903,29.07223076206651,43.355389109538564
72.3,1.8,139.0,360,499.0,45.03716369424119,98.3731853997006,46.470239769173325
72.3,1.9,147.0,360,507.0,45.19428017081796,96.07147516698174,46.634816071485886
72.4,1.0,81.0,240,321.0,46.11091568903976,32.04868976555473,46.90786044810198
72.4,1.1,88.0,120,208.0,41.16802201401359,99.62968042452258,41.999874069045006
72.4,1.2,96.0,120,216.0,45.796265861458544,84.55511954968996,46.5844863396573
72.4,1.3,103.0,240,343.0,43.8997439946189,61.09594994322547,44.85871112772514
72.4,1.4,111.0,120,231.0,44.478992604812056,4.012462026100949,44.97629245291646
72.4,1.5,118.0,240,358.0,44.54458652416569,90.14468295383796,45.65099858931437
72.4,1.6,125.0,360,485.0,45.508887927416,55.742927926431975,46.74227630578839
72.4,1.7,133.0,240,373.0,42.83374027187511,86.84761512027696,43.958214065689546
72.4,1.8,140.0,360,500.0,45.031781544229965,83.44291199057423,46.40721985885892
72.4,1.9,148.0,360,508.0,43.90717960347209,83.3006215201086,45.29871542288585
72.5,1.0,82.0,0,82.0,45.36366707867941,69.8173860714905,45.81376995629871
72.5,1.1,90.0,240,330.0,46.44800318023573,29.141513867604864,47.25206923570615
72.5,1.2,97.0,0,97.0,42.103580595720686,33.616025774451984,42.440128032151826
72.5,1.3,105.0,240,345.0,46.47056752857999,30.846921258268633,47.312705213613064
72.5,1.4,120.0,240,360.0,41.49396684855526,2.0045999532564696,42.251985248368285
72.5,1.5,120.0,0,120.0,41.01274651347648,58.256890921481116,41.4957740771624
72.5,1.6,127.0,0,127.0,41.24289064897807,69.88336704460329,41.78700745048982
72.5,1.7,135.0,240,375.0,42.87980322605219,85.38659935252035,44.002599623462274
72.5,1.8,142.0,120,262.0,44.480984818731386,14.016543338273035,45.082884325417815
72.5,1.9,150.0,360,510.0,41.379662474883176,54.418314897680176,42.659835734473894
72.6,1.0,83.0,0,83.0,41.03116197991262,0.800814067378286,41.2072819028488
72.6,1.1,91.0,360,451.0,46.15400065652337,9.509364771072947,47.131621448941
72.6,1.2,98.0,120,218.0,45.520596497669615,5.421174420599306,45.99644786201868
72.6,1.3,106.0,120,226.0,45.45050744126467,72.54780340154869,46.21153198820419
72.6,1.4,113.0,120,233.0,45.864333515260874,8.105956387760315,46.38217400747858
72.6,1.5,121.0,0,121.0,44.850188500246574,71.645298155879,45.38885302620342
72.6,1.6,128.0,120,248.0,41.574222713614446,24.962470441058336,42.19073926204535
72.6,1.7,136.0,0,136.0,43.19505103440548,87.77129606969395,43.829469552017585
72.6,1.8,143.0,120,263.0,44.977322175555464,81.31499883638142,45.850498837567656
72.6,1.9,151.0,360,511.0,42.541839534353365,95.78302174752766,43.989554954676805
72.7,1.0,83.0,360,443.0,44.78073500274931,88.37620154580318,46.057156475599186
72.7,1.1,91.0,240,331.0,41.13474146547209,93.33294191163472,42.19765656645196
72.7,1.2,98.0,360,458.0,42.683755374837766,85.87423965133077,43.98141900010975
72.7,1.3,106.0,240,346.0,44.02021684952445,69.33819006148553,45.01840294310372
72.7,1.4,113.0,360,473.0,44.47649406228433,17.025915212543595,45.530014389801174
72.7,1.5,121.0,0,121.0,44.17372365454051,27.170751885409295,44.53448999541548
72.7,1.6,129.0,360,489.0,44.83765951840386,21.272696613027307,45.941500304855964
72.7,1.7,136.0,240,376.0,41.033488115319116,60.35857876582056,42.05825576371573
72.7,1.8,144.0,240,384.0,41.55517659987637,50.361993797360135,42.556624575065804
72.7,1.9,151.0,120,271.0,45.7791933875353,86.70799971584236,46.690608719732005
72.8,1.0,84.0,0,84.0,44.74961754249588,95.26728664990756,45.30568668909551
72.8,1.1,92.0,360,452.0,41.62112403477306,40.485988961814435,42.72473465728699
72.8,1.2,99.0,120,219.0,45.63140940569219,50.635055328081236,46.29019962700451
72.8,1.3,107.0,360,467.0,42.332271698035115,97.15163568041392,43.69379490742344
72.8,1.4,114.0,360,474.0,43.63042936307373,27.623894162314354,44.728424939722984
72.8,1.5,122.0,120,242.0,41.79858082086563,79.23907753588136,42.619703797675825
72.8,1.6,130.0,120,250.0,44.90560531031939,22.52399023352463,45.51653460458682
72.8,1.7,137.0,120,257.0,44.667699315578474,68.14601154252719,45.475700028415254
72.8,1.8,145.0,120,265.0,42.16111859141375,25.361562763856416,42.81464817580251
72.8,1.9,152.0,120,272.0,45.74870421771351,88.37333888313869,46.668864239912736
72.9,1.0,84.0,360,444.0,43.20718313320842,56.14779437366768,44.35677431070309
72.9,1.1,92.0,120,212.0,42.60883300088908,18.59336408743846,43.1248731239055
72.9,1.2,100.0,0,100.0,41.83781274205494,22.436917569848603,42.13589374566767
72.9,1.3,107.0,240,347.0,42.46392406883545,49.38491957081003,43.384380413785365
72.9,1.4,115.0,120,235.0,41.121148066730996,96.16020255748788,41.995372210294285
72.9,1.5,123.0,120,243.0,44.207916208508635,76.96421638836544,45.0220230740621
72.9,1.6,131.0,360,491.0,45.63226910489171,48.83096428258451,46.85050962868872
72.9,1.7,139.0,120,259.0,44.01939247192903,33.77191445622171,44.694063463087254
72.9,1.8,146.0,120,266.0,42.20600679058131,54.92684933484426,42.97988085458736
72.9,1.9,154.0,120,274.0,41.1851804801763,74.83608334286197,42.05535814688108
73.0,1.0,85.0,360,445.0,42.18045440292342,78.39285884528,43.42110917163787
73.0,1.1,93.0,120,213.0,43.28866785439101,32.46087980969447,43.862261373629785
73.0,1.2,101.0,240,341.0,45.17786285784888,72.11592682138772,46.1767432318011
73.0,1.3,108.0,360,468.0,42.033135688957756,65.77887800361862,43.27125120097223
73.0,1.4,116.0,240,356.0,44.958852993450776,95.91122919962939,46.08416457691596
73.0,1.5,124.0,360,484.0,45.76813407593536,93.10902905080148,47.148903525471894
73.0,1.6,132.0,120,252.0,43.49670766459597,78.93793256035771,44.337459394837396
73.0,1.7,140.0,240,380.0,45.51787595403427,72.33946888549283,46.598900496242905
73.0,1.8,147.0,360,507.0,44.050615414193025,27.404158970427584,45.21648205007473
73.0,1.9,155.0,0,155.0,44.503999603944976,84.59652560985333,45.165302373051055
73.1,1.0,86.0,120,206.0,43.89453153186012,42.750570371336615,44.49470048001213
73.1,1.1,94.0,360,454.0,43.54744994213238,27.224054250604468,44.60217949246813
73.1,1.2,102.0,0,102.0,42.29059392976717,38.41607579534625,42.656758232948555
73.1,1.3,109.0,360,469.0,42.667567327035755,83.59354900165079,43.97902485637569
73.1,1.4,117.0,0,117.0,42.59483565418985,14.8633215577885,42.898038940421
73.1,1.5,125.0,120,245.0,44.09808912024598,45.615874111982244,44.790969283360575
73.1,1.6,133.0,240,373.0,41.6597453116314,49.23575945294897,42.633771682776526
73.1,1.7,141.0,0,141.0,46.04235429886285,3.66296975988194,46.350756177902376
73.1,1.8,148.0,360,508.0,44.96360329905713,19.574602954816534,46.100235044209725
73.1,1.9,156.0,120,276.0,43.207950970022566,82.67424285758564,44.11364794145291
73.2,1.0,86.0,0,86.0,41.872432794895076,83.07673885947607,42.38390641699965
73.2,1.1,94.0,360,454.0,45.850956933469,29.241508388424798,46.913756300356035
73.2,1.2,102.0,360,462.0,45.53077949555641,87.48972345979263,46.84323838939558
73.2,1.3,110.0,360,470.0,44.96946853994449,77.17829390683478,46.25734838223849
73.2,1.4,118.0,0,118.0,42.493508760761834,41.79074837954094,42.906505087613326
73.2,1.5,126.0,0,126.0,43.213456505885176,74.84063444050378,43.775319043647194
73.2,1.6,133.0,0,133.0,41.56511538848833,96.13346311948062,42.22673257429958
73.2,1.7,141.0,240,381.0,42.03971738600143,45.89697180653488,43.01705527322757
73.2,1.8,149.0,0,149.0,45.30659150524203,23.842717895348365,45.712379043490095
73.2,1.9,157.0,0,157.0,44.93271295367876,94.18165000501558,45.63652288703216
73.3,1.0,87.0,0,87.0,44.26417169636764,60.37442885632564,44.68691941179294
73.3,1.1,95.0,240,335.0,45.926496992593954,10.526516248042528,46.66651972425279
73.3,1.2,103.0,0,103.0,44.20796584797175,57.268281585668944,44.651622307647756
73.3,1.3,111.0,360,471.0,43.56832399979986,50.05808894482987,44.74980635557918
73.3,1.4,119.0,0,119.0,42.8720391046817,85.55888940755634,43.46219132897859
73.3,1.5,127.0,360,487.0,46.17246678154895,53.069518976352136,47.39932819078769
73.3,1.6,135.0,360,495.0,41.454935038383944,25.523243434428345,42.588278012121656
73.3,1.7,143.0,360,503.0,46.11988054633444,67.56440638648886,47.43805483854706
73.3,1.8,151.0,240,391.0,45.546930629620604,54.257545253558014,46.578544143968166
73.3,1.9,159.0,240,399.0,41.714614584946354,23.304462826687246,42.6390824362531
73.4,1.0,87.0,240,327.0,44.107413967213894,57.36278579429078,45.01811511039106
73.4,1.1,95.0,0,95.0,45.76601389961998,82.15355778896861,46.29254479744252
73.4,1.2,103.0,360,463.0,44.144950399839345,2.8570917724010436,45.12096210026228
73.4,1.3,111.0,240,351.0,45.98959901858342,63.08510386451117,46.973189434041466
73.4,1.4,119.0,240,359.0,46.186410992488234,34.95851957843921,47.07416173746866
73.4,1.5,128.0,0,128.0,43.32311487201368,29.267144575942417,43.70685011698412
73.4,1.6,136.0,240,376.0,43.075225137734776,39.258775036111125,44.015593571212555
73.4,1.7,144.0,0,144.0,46.14976634683036,34.20226642479817,46.58657541252955
73.4,1.8,152.0,120,272.0,44.71327033632318,83.22391067084416,45.61283264567322
73.4,1.9,160.0,240,400.0,41.63812474741493,27.479781076790054,42.581377205055425
73.5,1.0,88.0,120,208.0,41.23260462072475,73.31530231065854,41.95919916330072
73.5,1.1,96.0,0,96.0,44.10545978048495,9.405982022858872,44.34308370857639
73.5,1.2,104.0,360,464.0,46.11594030991134,95.13963724844156,47.463165525571775
73.5,1.3,112.0,240,352.0,45.643367863232,62.23166372485518,46.625627851464756
73.5,1.4,120.0,0,120.0,44.71716260555385,70.67185770445602,45.249850036371676
73.5,1.5,129.0,360,489.0,41.76513716890098,29.8039332094451,42.903102901738755
73.5,1.6,137.0,360,497.0,42.39827261061782,41.209656870811465,43.59852790476774
73.5,1.7,145.0,120,265.0,45.81531174603939,22.377838627097624,46.456906433881116
73.5,1.8,153.0,0,153.0,42.00543980161295,93.25360858022239,42.69720423593384
73.5,1.9,161.0,360,521.0,42.53141674537739,48.810444710137766,43.81207519088461
73.6,1.0,89.0,240,329.0,41.71280358157493,63.044811565798994,42.650399494504796
73.6,1.1,97.0,240,337.0,44.71859527277926,73.42720305307154,45.71438741832488
73.6,1.2,105.0,120,225.0,46.19190267949765,37.1106091099539,46.80909511593747
73.6,1.3,113.0,360,473.0,42.47932417377462,72.01016545391413,43.752781502256944
73.6,1.4,121.0,0,121.0,43.61473634317541,67.59924897563401,44.13721667241128
73.6,1.5,130.0,240,370.0,44.488868568411625,70.56593338739465,45.54196563529454
73.6,1.6,138.0,360,498.0,46.49706436518597,48.922990020461285,47.73025632526782
73.6,1.7,146.0,360,506.0,41.57644435748664,38.29373822916171,42.783785977069954
73.6,1.8,154.0,120,274.0,43.7421393972814,22.208218820898985,44.401805605898325
73.6,1.9,162.0,240,402.0,43.11816065946375,82.46263528008929,44.285511200584104
73.7,1.0,89.0,240,329.0,45.76201090872296,60.83500465316787,46.690767594002295
73.7,1.1,97.0,0,97.0,43.617822520564104,44.435219609749495,43.997646732336435
73.7,1.2,106.0,240,346.0,41.610376385218316,94.39959067106113,42.708808081235894
73.7,1.3,114.0,0,114.0,44.48933279907621,4.783881250703881,44.74596832407902
73.7,1.4,122.0,240,362.0,45.23929340045134,85.01719452050476,46.33352884520003
73.7,1.5,131.0,120,251.0,41.01584688416088,99.75825929459724,41.93779658800594
73.7,1.6,139.0,240,379.0,45.72426176981346,88.69421108828674,46.86862194749994
73.7,1.7,147.0,0,147.0,42.02312650003116,81.04365856156252,42.65355113427741
73.7,1.8,155.0,0,155.0,44.03638150559358,37.43059934063246,44.50902056962278
73.7,1.9,164.0,120,284.0,43.28688625378098,23.13141822622935,43.971078593352566
73.8,1.0,90.0,240,330.0,44.958095991357915,73.4850520499601,45.93953619955776
73.8,1.1,98.0,240,338.0,43.04138888132158,30.45753662885684,43.867385694503675
73.8,1.2,107.0,120,227.0,45.783697471749406,17.60396821549707,46.32703001127806
73.8,1.3,115.0,240,355.0,45.01772998527335,78.65258871035913,46.07192367344812
73.8,1.4,123.0,240,363.0,44.56242244084607,31.25436522367222,45.44368990174076
73.8,1.5,132.0,0,132.0,45.379323275595695,91.44417294873384,46.02009996739063
73.8,1.6,140.0,240,380.0,45.1471266921061,84.06326448191253,46.27504641670041
73.8,1.7,148.0,240,388.0,41.19766271206854,84.76403295092551,42.345052177205574
73.8,1.8,156.0,120,276.0,43.17103894614655,77.15697260558262,44.054666836568884
73.8,1.9,165.0,120,285.0,46.119440135240694,88.08814237747367,47.06554270475059
73.9,1.0,90.0,360,450.0,41.69148347945725,80.57468921781201,42.951282236328495
73.9,1.1,98.0,0,98.0,45.05403102737628,60.251136357472866,45.49920223947284
73.9,1.2,107.0,240,347.0,46.360254962344314,29.582271858186317,47.20150071644373
73.9,1.3,115.0,240,355.0,41.28709245974734,88.8209193214149,42.38195947036634
73.9,1.4,124.0,360,484.0,44.75206634344636,84.06036227731919,46.096641125888965
73.9,1.5,132.0,240,372.0,43.57484777715567,47.287932221054504,44.538999506039886
73.9,1.6,140.0,0,140.0,44.18546390456097,3.9078686001955187,44.49276204562842
73.9,1.7,149.0,360,509.0,41.469377350663784,63.854372740191344,42.78521150829122
73.9,1.8,157.0,0,157.0,41.23653823526817,5.059685367658173,41.58386031007214
73.9,1.9,166.0,360,526.0,44.66776663303007,92.62799618484073,46.13411195110277
72.0,2.0,150.0,360,510.0,45.52820186401395,96.1631256625307,46.97535436666407
72.0,2.1,156.0,120,276.0,45.30108434213132,18.949014589960424,45.95188040049116
72.0,2.2,162.0,0,162.0,43.99093150326431,67.638937805491,44.59898725448627
72.0,2.3,168.0,240,408.0,41.54926751624898,9.226900456276276,42.43617511807409
72.0,2.4,174.0,240,414.0,44.784244441098075,72.95169285731221,45.93855121252732
72.0,2.5,180.0,0,180.0,42.3303888595478,34.72876661526746,42.84430392600887
72.0,2.6,185.0,240,425.0,46.01087786522061,68.10501117304453,47.16871457657945
72.0,2.7,191.0,240,431.0,45.61045947750138,37.287650920217786,46.65752674784892
72.0,2.8,197.0,0,197.0,44.90160631898065,14.556750983323575,45.370249989580614
72.0,2.9,203.0,360,563.0,46.21865275707122,40.61099805025579,47.554013415938904
72.1,2.1,151.0,0,151.0,41.172820018312,11.267352663479002,41.53247276229925
72.1,2.2,163.0,360,523.0,45.04910233783419,57.68832749769458,46.369438981158304
72.1,2.3,169.0,240,409.0,42.81633528635023,4.0951532149479775,43.684799232543355
72.1,2.4,175.0,240,415.0,45.98336237127501,52.73196795998597,47.058873576448285
72.1,2.5,181.0,240,421.0,42.466713581640875,88.63686470955409,43.698344373812425
72.1,2.6,187.0,120,307.0,44.986710746232596,83.78732701193627,45.96144338761368
72.1,2.7,193.0,360,553.0,45.8270586080793,88.27816996264968,47.332254621263225
72.1,2.8,199.0,120,319.0,41.22911250110475,92.20488021271073,42.262515355288926
72.1,2.9,205.0,120,325.0,43.1870616877562,10.452788787569423,43.90595617623981
72.2,2.0,153.0,0,153.0,45.19269967612066,12.874720287571307,45.56294855727095
72.2,2.1,159.0,120,279.0,43.50205389229173,55.70068063131286,44.306106614816976
72.2,2.2,165.0,0,165.0,42.469889463864774,89.39726684244292,43.17122853123455
72.2,2.3,171.0,0,171.0,42.208929418527546,97.43494565240307,42.95491920113716
72.2,2.4,177.0,120,297.0,41.72335046804008,4.626191733999995,42.36060523497608
72.2,2.5,183.0,360,543.0,45.71421257920955,35.577408420066014,46.987772212889816
72.2,2.6,189.0,360,549.0,44.16445471788356,21.289425465999344,45.393362419747554
72.2,2.7,195.0,360,555.0,41.42011719745301,75.59658489312481,42.87875353702551
72.2,2.8,201.0,360,561.0,43.1041917796385,64.0193868537032,44.52901932705331
72.2,2.9,207.0,360,567.0,43.0225350794281,11.988803148384541,44.25174029202164
72.3,2.0,154.0,120,274.0,41.99956554890205,48.35220673649715,42.76380770918137
72.3,2.1,160.0,120,280.0,43.395291940097046,68.54405223712914,44.2528014823789
72.3,2.2,166.0,240,406.0,42.82654650966225,77.90053939240377,43.9839820005652
72.3,2.3,172.0,360,532.0,42.879920380207004,2.0052709784008527,43.99627479745394
72.3,2.4,178.0,120,298.0,45.06464606783377,89.04695739838898,46.04166723076066
72.3,2.5,185.0,240,425.0,42.22794862027858,56.92813829505244,43.34107784012546
72.3,2.6,191.0,360,551.0,44.530229773704455,81.19091149599046,46.00291008635509
72.3,2.7,197.0,0,197.0,44.138572931345145,80.79380300142834,44.87216481001753
72.3,2.8,203.0,240,443.0,44.12450881785827,18.985266027096912,45.12336654863332
72.3,2.9,209.0,120,329.0,44.64654040377977,11.01721202536331,45.37602591854789
72.4,2.0,155.0,0,155.0,44.0161011990761,72.12872689738266,44.62753277333229
72.4,2.1,161.0,0,161.0,45.835903131655115,15.642691882161907,46.23389056585043
72.4,2.2,167.0,0,167.0,44.71569050572643,84.99374914047237,45.40358216895499
72.4,2.3,173.0,240,413.0,44.008297882542635,72.61894838621052,45.159190342754144
72.4,2.4,179.0,120,299.0,45.56369716158205,84.18253643652626,46.52334397399482
72.4,2.5,186.0,0,186.0,44.33380610713414,29.901267960934607,44.840911178977876
72.4,2.6,192.0,360,552.0,42.60129336281848,31.659806041056903,43.87793258698271
72.4,2.7,198.0,0,198.0,42.13902204997114,67.12215563463177,42.82001067250967
72.4,2.8,204.0,0,204.0,41.837802821144734,3.144595505894754,42.27538120316831
72.4,2.9,210.0,240,450.0,45.94700366900356,72.64967463374226,47.17510236753853
72.5,2.0,157.0,240,397.0,44.905744874889365,83.57830708546012,46.06714143656454
72.5,2.1,163.0,120,283.0,46.15558140990376,41.516358660410404,46.911230177878736
72.5,2.2,169.0,360,529.0,44.31810493143219,76.48788300884686,45.72613979680091
72.5,2.3,175.0,240,415.0,43.603704848222016,17.461091698226195,44.53813254834826
72.5,2.4,181.0,0,181.0,41.32844068933989,32.22603938194847,41.834428180201016
72.5,2.5,188.0,120,308.0,44.694032548503166,97.43049631104775,45.725421200414026
72.5,2.6,194.0,0,194.0,44.202148178725274,98.63281735601262,45.00084611481599
72.5,2.7,200.0,0,200.0,46.44614891473192,51.2605053021588,47.06785760260722
72.5,2.8,206.0,240,446.0,42.31537327780234,93.4269791463877,43.618247861054556
72.5,2.9,212.0,120,332.0,43.91905545407759,52.27306780568546,44.81981439196701
72.6,2.0,158.0,360,518.0,44.5802653431494,29.15881281611573,45.77606726108053
72.6,2.1,164.0,360,524.0,44.54525146108289,26.689928809877184,45.743677842989065
72.6,2.2,170.0,240,410.0,44.087114486216215,92.95057053681488,45.31308343503014
72.6,2.3,177.0,240,417.0,45.27310405679974,17.24463889738591,46.21083261238928
72.6,2.4,183.0,120,303.0,42.12739665239749,57.96324582018182,42.99049963567822
72.6,2.5,189.0,360,549.0,44.990949601509286,55.552506806271964,46.35690962873437
72.6,2.6,195.0,360,555.0,44.40854014288199,73.9621684652995,45.86063881674319
72.6,2.7,201.0,360,561.0,45.92841311487015,49.924290752477475,47.296860277880064
72.6,2.8,208.0,0,208.0,45.6595694146847,27.22856607081342,46.201817012301284
72.6,2.9,214.0,360,574.0,42.73330871522904,16.939649963157855,43.99690064841501
72.7,2.0,159.0,0,159.0,42.519305287363345,62.08188035058918,43.0988828087657
72.7,2.1,165.0,120,285.0,46.39909328118846,71.89907568532331,47.280439583929756
72.7,2.2,172.0,0,172.0,43.899958495033914,56.95212786820326,44.486100339840064
72.7,2.3,178.0,120,298.0,45.985315301529404,73.83512771211947,46.90148914571121
72.7,2.4,184.0,360,544.0,41.901345630792655,14.152120244996013,43.09128744510597
72.7,2.5,191.0,360,551.0,44.53550403140096,88.24701949431355,46.03640877604488
72.7,2.6,197.0,120,317.0,45.45423103048322,58.239550840850306,46.347605900513294
72.7,2.7,203.0,240,443.0,46.21067387272546,12.684392689259717,47.18432811014916
72.7,2.8,209.0,120,329.0,42.85537077559363,46.1925204205735,43.72555752394259
72.7,2.9,216.0,240,456.0,44.98739643458229,84.47917378659115,46.27531312972865
72.8,2.0,160.0,0,160.0,43.9634715497179,89.75621934531601,44.6558297604325
72.8,2.1,166.0,0,166.0,41.333459093365576,26.46495049987615,41.785152228698415
72.8,2.2,173.0,0,173.0,44.794998555199186,71.12658247104531,45.43992155175003
72.8,2.3,179.0,360,539.0,44.79553107030814,9.998524748377669,45.958441835968316
72.8,2.4,185.0,0,185.0,46.118337426655955,3.3545871412157813,46.51717244188748
72.8,2.5,192.0,240,432.0,43.73521845392935,56.03989538199428,44.859378035457325
72.8,2.6,198.0,0,198.0,42.26638006390783,69.48275793281259,42.95681109563908
72.8,2.7,204.0,120,324.0,41.24510102896774,79.5786731176502,42.23841572143834
72.8,2.8,210.0,120,330.0,43.28603202677248,34.02162384553347,44.10961852215461
72.8,2.9,217.0,360,577.0,42.66054185042626,0.6525410428886991,43.865235347931154
72.9,2.0,162.0,120,282.0,45.185985683131314,47.95192371113538,45.965293377975854
72.9,2.1,168.0,240,408.0,42.94847270662576,1.585354537356698,43.804814124775184
72.9,2.2,175.0,0,175.0,46.219891579731645,9.198451067079993,46.6212687173333
72.9,2.3,181.0,360,541.0,46.29270611643281,32.668902253174835,47.55046505877884
72.9,2.4,187.0,0,187.0,44.414997246197395,43.71720495601772,44.9794493993548
72.9,2.5,194.0,0,194.0,46.10763157858186,27.946944122964858,46.62358602174039
72.9,2.6,200.0,240,440.0,45.18469889482972,58.18652665047078,46.33411166809827
72.9,2.7,206.0,120,326.0,44.00772802536319,5.534978921809519,44.7090346077171
72.9,2.8,212.0,120,332.0,41.99169364482528,14.457971023958471,42.741192195587786
72.9,2.9,219.0,0,219.0,43.52228868932612,69.52584007554336,44.25664204962829
73.0,2.0,163.0,360,523.0,44.0848095484944,14.214085359791772,45.23124922326689
73.0,2.1,169.0,120,289.0,45.75178869404256,63.97752015704224,46.60978210800406
73.0,2.2,176.0,360,536.0,43.64733357094616,5.468462075336555,44.78587408591417
73.0,2.3,182.0,120,302.0,45.93721069972876,40.73822791191404,46.729330278043086
73.0,2.4,189.0,360,549.0,44.70891938462908,17.740947012118234,45.92363317267755
73.0,2.5,195.0,240,435.0,41.75349484679519,10.963628253518642,42.70359935980927
73.0,2.6,201.0,360,561.0,46.47239753128801,56.70327835012275,47.8679606446885
73.0,2.7,208.0,240,448.0,43.89977963414652,92.83357720056217,45.204447276282096
73.0,2.8,214.0,240,454.0,43.155220630249936,5.478704792354883,44.122968782752686
73.0,2.9,221.0,360,581.0,44.625125704582395,42.15542482180342,46.00416407053628
73.1,2.0,164.0,240,404.0,41.59891322689572,70.75354377454437,42.72359406866057
73.1,2.1,170.0,0,170.0,44.50096255714345,46.268783168782704,45.04020435648525
73.1,2.2,177.0,240,417.0,43.740298002746,80.64959461052452,44.931646381188095
73.1,2.3,183.0,120,303.0,43.23670738499221,17.96453158641317,43.93981551133786
73.1,2.4,190.0,360,550.0,46.24161011648395,95.95942050277405,47.77128113182838
73.1,2.5,196.0,0,196.0,43.873968442026296,38.51626277725405,44.43636682646864
73.1,2.6,202.0,360,562.0,42.20514613708466,34.15696329442751,43.5126073235957
73.1,2.7,209.0,120,329.0,43.524299136575145,87.46057945031659,44.55955812104308
73.1,2.8,215.0,120,335.0,46.0566307251497,56.38670318917666,46.98009420457307
73.1,2.9,222.0,120,342.0,41.96852509231827,51.644434190282155,42.8876028290794
73.2,2.0,165.0,240,405.0,42.1767637127853,72.69779195284309,43.31130488059667
73.2,2.1,172.0,240,412.0,41.07166262266396,57.98342382810904,42.16192965130973
73.2,2.2,178.0,360,538.0,41.07804527167672,16.251564475711533,42.263884862912896
73.2,2.3,185.0,360,545.0,45.56165394827182,67.41976228649297,46.96674966408445
